post_id,post_text,toxicity_score,final_label,reason
1d739557-b590-4e43-8b38-828d76e1b92d,Check out this new art tutorial.,0.0007006176,Safe,Clean content
c69ca673-dfac-4fa4-9f15-e0bc3039ac73,10 tips to stay focused during exams.,0.0005568195,Safe,Clean content
39d69249-643f-4ae0-91b4-b667c5e60507,Check out this new art tutorial.,0.0007006176,Safe,Clean content; Image flagged for: Adult
dd7de117-5dff-4c69-943c-9e02fc9268b0,Study hacks for competitive exams.,0.0005901148,Safe,Clean content
3a9a7585-cefb-480c-9e7f-ca3839b8fd72,This is the most violent movie scene ever!,0.1111451,Safe,Clean content; Image flagged for: Violence
0cc61cb9-7d15-4be9-bccd-ed47860e8d15,Check out this new art tutorial.,0.0007006176,Safe,Clean content
bb49b477-7cf9-44e0-85f9-bf34d385f6c8,"This person is so dumb, LOL.",0.937407,Unsafe,High toxicity detected
abcbdfc3-b9c2-4a8f-95d2-c514f5be3ad0,"Hate this so much, can't believe it!",0.20520207,Unsafe,Clean content; Unsafe keyword found
6b5ea7c2-cd13-4635-977a-24e4d223377f,Watch this hilarious prank compilation!,0.08488324,Safe,Clean content
da8cea94-e2b8-46ba-b713-10c4d53b99de,"Hate this so much, can't believe it!",0.20520207,Unsafe,Clean content; Unsafe keyword found
6ddb2d2d-ec24-46f2-a0da-bf2ddafe0f5e,Watch this hilarious prank compilation!,0.08488324,Safe,Clean content
678e5ca7-4ed1-4510-af62-37f6983f88a0,You won't believe what happened next!,0.0048158597,Safe,Clean content; Image flagged for: Violence
7340e5f1-7268-4af3-a811-2f674d313b53,Watch this hilarious prank compilation!,0.08488324,Safe,Clean content
fcd6c803-8116-41de-a999-6c635ee22028,Join us live for the global science fair.,0.0005469048,Safe,Clean content
1f2767f7-1299-4cc7-bc2e-84b0bc820634,Study hacks for competitive exams.,0.0005901148,Safe,Clean content
89b34a7c-c7a5-42dd-9047-fa491fa96532,"This person is so dumb, LOL.",0.937407,Unsafe,High toxicity detected
c03246cc-6fe4-48a8-b8a7-ac05e6743932,10 tips to stay focused during exams.,0.0005568195,Safe,Clean content
e4ae8514-dfce-4e0d-82d0-73f78149ea22,"Hate this so much, can't believe it!",0.20520207,Unsafe,Clean content; Unsafe keyword found
e1bb4825-3651-4e0e-b089-63142ba5eaf4,Join us live for the global science fair.,0.0005469048,Safe,Clean content
23e8bb8a-d308-4473-b6eb-c59b9146139c,Learning new chess strategies is fun and challenging.,0.00059212616,Safe,Clean content
cf98e013-88ab-4c4e-9746-271e8c3cbeaa,Learning new chess strategies is fun and challenging.,0.00059212616,Safe,Clean content; Image flagged for: Adult
f1320c44-5b5d-4e42-a142-3ce67f01c3d2,Watch this hilarious prank compilation!,0.08488324,Safe,Clean content
f34881e7-41ee-44a6-ad74-02f9a2cce748,Check out this new art tutorial.,0.0007006176,Safe,Clean content; Image flagged for: Racy
bf1d2e12-9985-41e9-b398-6f4e52dffdc1,Watch this hilarious prank compilation!,0.08488324,Safe,Clean content
e49ec85e-9a55-4424-985c-ecd045a3a27a,Check out this new art tutorial.,0.0007006176,Safe,Clean content
1b48dcd7-ce76-4fd2-9c7d-9713cdf5b31a,10 tips to stay focused during exams.,0.0005568195,Safe,Clean content; Image flagged for: Adult
64fd97c7-c4a8-493e-af9c-0bfa9bb2f4cc,"This person is so dumb, LOL.",0.937407,Unsafe,High toxicity detected
986fe30e-c9f5-47b4-aa1a-47292aa2376b,"Hate this so much, can't believe it!",0.20520207,Unsafe,Clean content; Unsafe keyword found
413c329b-df63-4703-9d7e-b7cb0a3fa017,You won't believe what happened next!,0.0048158597,Safe,Clean content
1e3eef21-368b-45a4-a252-b122690dcdae,Study hacks for competitive exams.,0.0005901148,Safe,Clean content
2685c29e-3812-4ae5-9616-392b4f066c5d,Join us live for the global science fair.,0.0005469048,Safe,Clean content; Image flagged for: Adult
3af6582e-18ad-4e2a-81c8-552772761c95,"This person is so dumb, LOL.",0.937407,Unsafe,High toxicity detected; Image flagged for: Racy
9e5f2d9e-7241-44d8-bec7-25b913ee4377,"Hate this so much, can't believe it!",0.20520207,Unsafe,Clean content; Unsafe keyword found
284ad01a-2cc5-4388-a711-cc67c2365f8a,Study hacks for competitive exams.,0.0005901148,Safe,Clean content; Image flagged for: Violence
2032e0d4-0b29-479c-8266-96e14663488e,Check out this new art tutorial.,0.0007006176,Safe,Clean content
397899c2-b8ea-4bee-965b-e4d91d8a263d,You won't believe what happened next!,0.0048158597,Safe,Clean content
b3da4b7f-ad1e-49df-b008-ef792f6e9399,Watch this hilarious prank compilation!,0.08488324,Safe,Clean content
8c85aeae-a166-406f-83be-f678b9722b20,This is the most violent movie scene ever!,0.1111451,Safe,Clean content
b9e0f04f-dc65-4183-9c45-70017d301669,You won't believe what happened next!,0.0048158597,Safe,Clean content
1049a43c-ea56-4960-9df7-d8f40286a0cc,Check out this new art tutorial.,0.0007006176,Safe,Clean content
286674c2-9a6a-40c5-b283-1809f7336d7f,"Hate this so much, can't believe it!",0.20520207,Unsafe,Clean content; Unsafe keyword found; Image flagged for: Adult
46898883-78b0-417b-b18b-90c6fa0b3f53,Join us live for the global science fair.,0.0005469048,Safe,Clean content
a7afcdcf-fcfa-44b8-8792-3712e9189212,Watch this hilarious prank compilation!,0.08488324,Safe,Clean content
41ce8745-b274-40bb-ae2b-b84094aa73e9,"This person is so dumb, LOL.",0.937407,Unsafe,High toxicity detected
d2624573-c3f4-4e03-960b-d0f6bce583ca,"This person is so dumb, LOL.",0.937407,Unsafe,High toxicity detected
a5bafa0d-538a-4c85-97dc-1f79ad7af74d,Study hacks for competitive exams.,0.0005901148,Safe,Clean content
3a28cc2c-1643-4190-9d6d-88a1ae127df5,"This person is so dumb, LOL.",0.937407,Unsafe,High toxicity detected; Image flagged for: Adult
885f406c-283d-488a-95ab-bbd31ee116b9,Join us live for the global science fair.,0.0005469048,Safe,Clean content; Image flagged for: Violence
4be6c5d0-951e-4802-b7d3-0d8431c9e695,Watch this hilarious prank compilation!,0.08488324,Safe,Clean content
920d78bb-3ea7-412b-8edb-6b227e174011,You won't believe what happened next!,0.0048158597,Safe,Clean content; Image flagged for: Racy
b666620b-f279-4b43-9b18-61c40c2d4d95,10 tips to stay focused during exams.,0.0005568195,Safe,Clean content
880e4a48-2948-443b-b256-92ec0615b638,"This person is so dumb, LOL.",0.937407,Unsafe,High toxicity detected
2cb8cfdd-e919-44cc-b41d-896f523dca1d,Check out this new art tutorial.,0.0007006176,Safe,Clean content
564a9543-83c7-485b-8462-1830ba211a9a,Join us live for the global science fair.,0.0005469048,Safe,Clean content
d00826e9-2c78-4f4d-9622-241e21c72491,Join us live for the global science fair.,0.0005469048,Safe,Clean content; Image flagged for: Violence
81c52e19-93f7-41bd-9252-86b8adfd2f9d,"Hate this so much, can't believe it!",0.20520207,Unsafe,Clean content; Unsafe keyword found
4fb77e1e-e95d-42ac-bb14-7a0459cde34a,Check out this new art tutorial.,0.0007006176,Safe,Clean content; Image flagged for: Violence
fc1e1ecb-7164-4d07-a05e-119f950843f2,"Hate this so much, can't believe it!",0.20520207,Unsafe,Clean content; Unsafe keyword found
24ea2cc6-da8c-4825-a126-502abeb12db2,Study hacks for competitive exams.,0.0005901148,Safe,Clean content; Image flagged for: Violence
a1eaa995-a7e7-462b-b644-2f0b2114ae7f,This is the most violent movie scene ever!,0.1111451,Safe,Clean content
b342d87a-bff2-4f05-a1e7-936bd854645d,"This person is so dumb, LOL.",0.937407,Unsafe,High toxicity detected
2dfc39f5-bdcc-44ad-95a5-e1ea76012b7a,Learning new chess strategies is fun and challenging.,0.00059212616,Safe,Clean content
ea873f34-f176-468a-a8ac-7fd80425adc4,10 tips to stay focused during exams.,0.0005568195,Safe,Clean content
e9e7719d-a3e8-4619-ab31-c5fb261dd961,"This person is so dumb, LOL.",0.937407,Unsafe,High toxicity detected; Image flagged for: Racy
fbc6ffa2-865e-45c3-a6e1-296071521439,"This person is so dumb, LOL.",0.937407,Unsafe,High toxicity detected; Image flagged for: Racy
f57712fb-c6d8-4375-bcec-b27fa0f73626,Watch this hilarious prank compilation!,0.08488324,Safe,Clean content
3b3a7bb9-4e25-42de-91c4-cc7280ded046,Join us live for the global science fair.,0.0005469048,Safe,Clean content
67e78353-d684-48bc-b3ee-79863489af77,This is the most violent movie scene ever!,0.1111451,Safe,Clean content
4b238a5e-3c0d-4546-8200-8085a72752c9,Watch this hilarious prank compilation!,0.08488324,Safe,Clean content
4073aa75-5a21-4acf-862d-e8d7973950c7,Join us live for the global science fair.,0.0005469048,Safe,Clean content
e64da113-a11d-4930-ab9c-249cc7ee2640,Check out this new art tutorial.,0.0007006176,Safe,Clean content
ae91c7a2-1bdd-4b6c-b301-e6bfd4cf0a93,Join us live for the global science fair.,0.0005469048,Safe,Clean content
ed523198-63c5-4cf1-8675-9dceb84459a7,"Hate this so much, can't believe it!",0.20520207,Unsafe,Clean content; Unsafe keyword found; Image flagged for: Violence
3ff5c8e3-16cc-4459-9dc6-36901c1d9c00,"This person is so dumb, LOL.",0.937407,Unsafe,High toxicity detected
71a5146f-2d3b-450f-a3ea-21cdddaf20d4,Join us live for the global science fair.,0.0005469048,Safe,Clean content
5112805d-78e6-408c-b31d-86b2b53b9579,"Hate this so much, can't believe it!",0.20520207,Unsafe,Clean content; Unsafe keyword found
82ec3222-4183-4672-a610-51c57a9c3fac,Learning new chess strategies is fun and challenging.,0.00059212616,Safe,Clean content; Image flagged for: Violence
d90f24b1-5b7b-4a08-b2e5-c018ee94c826,Watch this hilarious prank compilation!,0.08488324,Safe,Clean content
9b71bd0c-0c17-4189-af12-0128816f0b39,10 tips to stay focused during exams.,0.0005568195,Safe,Clean content
ed6877ca-de65-4e50-8bc4-5efcd2d8722d,Watch this hilarious prank compilation!,0.08488324,Safe,Clean content
f331ac80-318a-4e24-9134-e7076464fd85,Join us live for the global science fair.,0.0005469048,Safe,Clean content
c07cd8c0-45f8-4adb-970e-049969beeb9f,Learning new chess strategies is fun and challenging.,0.00059212616,Safe,Clean content; Image flagged for: Violence
745c985c-99d0-4829-8cd8-11298553a432,10 tips to stay focused during exams.,0.0005568195,Safe,Clean content
fe4fefdf-5d24-41f6-94e1-17be76393e3b,Learning new chess strategies is fun and challenging.,0.00059212616,Safe,Clean content; Image flagged for: Adult
27e44067-e869-40cf-a555-bf08f0cbb964,You won't believe what happened next!,0.0048158597,Safe,Clean content
0e866485-c0ef-40ef-92fb-14e509937cea,You won't believe what happened next!,0.0048158597,Safe,Clean content
180fa1a6-9c08-4b9f-bce8-f88190ad5298,"Hate this so much, can't believe it!",0.20520207,Unsafe,Clean content; Unsafe keyword found
d6151d1d-a41b-45c1-9c6a-9a5f9d600c7b,10 tips to stay focused during exams.,0.0005568195,Safe,Clean content
ebb6fd83-43e5-41da-abcd-1bfd11f08a8c,Learning new chess strategies is fun and challenging.,0.00059212616,Safe,Clean content
159ba201-2a6b-40c8-8222-d7bd4bed447b,"This person is so dumb, LOL.",0.937407,Unsafe,High toxicity detected
a4c57b63-48af-4210-af01-bd1a1e7aa340,"Hate this so much, can't believe it!",0.20520207,Unsafe,Clean content; Unsafe keyword found; Image flagged for: Adult
3396113c-420a-4651-a328-6eacca8abdb4,"This person is so dumb, LOL.",0.937407,Unsafe,High toxicity detected
fc134aa7-b988-42d5-9aa1-cfb15b4d7a9a,Watch this hilarious prank compilation!,0.08488324,Safe,Clean content
48ac871a-751d-447c-af5d-997619cec274,"Hate this so much, can't believe it!",0.20520207,Unsafe,Clean content; Unsafe keyword found
82f34db9-d8c3-46f7-8334-a434bac145e5,Join us live for the global science fair.,0.0005469048,Safe,Clean content
5d9b55cb-bbe2-417d-8738-ebf4d58b5fc7,This is the most violent movie scene ever!,0.1111451,Safe,Clean content
d3ea96d7-8e4e-4001-9841-d1de6218791b,Learning new chess strategies is fun and challenging.,0.00059212616,Safe,Clean content
259a1b53-7256-43c9-a673-5bec9e7f8d31,Study hacks for competitive exams.,0.0005901148,Safe,Clean content
94b559be-cf4e-4270-88c7-9613728fce3d,Study hacks for competitive exams.,0.0005901148,Safe,Clean content; Image flagged for: Racy
d4dec077-abe0-4165-b044-ef0b53820589,"This person is so dumb, LOL.",0.937407,Unsafe,High toxicity detected
ea99a4b6-9d36-401d-b306-baa9939b0944,You won't believe what happened next!,0.0048158597,Safe,Clean content
02df90a5-9ec1-4b8d-9b5d-a96cb9c2b06e,Study hacks for competitive exams.,0.0005901148,Safe,Clean content
63a986dd-c071-48bd-88d0-a2ac0a7578d4,"Hate this so much, can't believe it!",0.20520207,Unsafe,Clean content; Unsafe keyword found
6eb30060-79b4-4424-9999-7b87f526c428,Watch this hilarious prank compilation!,0.08488324,Safe,Clean content
99f533d3-6950-40c1-816d-fb3e15c86d01,Learning new chess strategies is fun and challenging.,0.00059212616,Safe,Clean content; Image flagged for: Adult
7a0efd43-6568-448b-b19e-1928b9de0fe9,Learning new chess strategies is fun and challenging.,0.00059212616,Safe,Clean content
904e8c2b-983b-4031-a959-d985ff8ae645,10 tips to stay focused during exams.,0.0005568195,Safe,Clean content; Image flagged for: Racy
c2f347b0-1a42-4700-9441-cad8c52becbe,Watch this hilarious prank compilation!,0.08488324,Safe,Clean content
c199bce2-ec4a-4396-b999-6c62d0875777,Check out this new art tutorial.,0.0007006176,Safe,Clean content
196b39a6-7efc-4780-a336-0a681ed26478,This is the most violent movie scene ever!,0.1111451,Safe,Clean content; Image flagged for: Violence
b0463215-241a-42dd-b7c0-caac32637d6e,This is the most violent movie scene ever!,0.1111451,Safe,Clean content
b77c5d02-8358-48c3-b7bb-ff70125953ac,This is the most violent movie scene ever!,0.1111451,Safe,Clean content; Image flagged for: Adult
c970d6d6-b2ea-4840-9aa5-2343f247a6a4,"This person is so dumb, LOL.",0.937407,Unsafe,High toxicity detected
700e2c6b-69b2-45d2-a71d-66306f82b0cf,"This person is so dumb, LOL.",0.937407,Unsafe,High toxicity detected; Image flagged for: Adult
b981e454-cb25-4136-ab76-c19265e0943b,This is the most violent movie scene ever!,0.1111451,Safe,Clean content; Image flagged for: Racy
42fa2d57-06f6-495a-b31e-2eeaa2d05e4d,You won't believe what happened next!,0.0048158597,Safe,Clean content; Image flagged for: Adult
84bec327-47a0-4e17-b409-b2af1b5b0d18,"This person is so dumb, LOL.",0.937407,Unsafe,High toxicity detected
6ef65640-b31b-47ae-a5bb-01d667066967,Watch this hilarious prank compilation!,0.08488324,Safe,Clean content
bf72dc21-3c92-4faa-b95e-1a27035d2c7b,Learning new chess strategies is fun and challenging.,0.00059212616,Safe,Clean content; Image flagged for: Racy
3b299d9c-e77e-4181-a00b-d07e0c84f793,Join us live for the global science fair.,0.0005469048,Safe,Clean content
d2e4f56c-217c-4951-b121-8be8d820ee0b,Watch this hilarious prank compilation!,0.08488324,Safe,Clean content; Image flagged for: Violence
82f8f401-149d-49c2-a267-922e5f5f7eec,Check out this new art tutorial.,0.0007006176,Safe,Clean content
a6c2c95d-002c-4263-ab17-6a813f061c09,Study hacks for competitive exams.,0.0005901148,Safe,Clean content
3fad96b5-be39-436d-a858-ff3adf28696f,Study hacks for competitive exams.,0.0005901148,Safe,Clean content
e45bb5a6-9b0b-4251-8945-7d440d121dee,10 tips to stay focused during exams.,0.0005568195,Safe,Clean content; Image flagged for: Violence
c11a9a48-9096-46c6-8e29-83fcfd53ede1,"This person is so dumb, LOL.",0.937407,Unsafe,High toxicity detected; Image flagged for: Racy
3d7ea3ec-fb13-4f92-a1b7-f68afb0f6eef,Study hacks for competitive exams.,0.0005901148,Safe,Clean content
fcd6156b-d260-41db-b83e-742aa4a134af,"This person is so dumb, LOL.",0.937407,Unsafe,High toxicity detected
b14fab08-5fe8-4db7-8b04-9085553d94b9,Learning new chess strategies is fun and challenging.,0.00059212616,Safe,Clean content; Image flagged for: Violence
d50d1d3e-218a-451a-be9c-a3ea0a4362ef,"Hate this so much, can't believe it!",0.20520207,Unsafe,Clean content; Unsafe keyword found
5a3cd8f9-6226-4a8a-8b01-15f532f9e7e8,Check out this new art tutorial.,0.0007006176,Safe,Clean content; Image flagged for: Racy
e4fd42c7-32eb-4bb2-b32f-f0ca4831b8d2,10 tips to stay focused during exams.,0.0005568195,Safe,Clean content
86ecab81-3c76-40e8-897c-c20f5fbff1da,Study hacks for competitive exams.,0.0005901148,Safe,Clean content
f72e0244-a747-4049-8e95-2d2d27f35878,"Hate this so much, can't believe it!",0.20520207,Unsafe,Clean content; Unsafe keyword found
89dd4d66-8fb8-444b-a892-e9afe3ff038e,Watch this hilarious prank compilation!,0.08488324,Safe,Clean content
72acafb3-0ad6-4c0f-9ea1-4dfdda628279,Check out this new art tutorial.,0.0007006176,Safe,Clean content
89237a4d-3398-4224-80ec-ab72c503bd0a,This is the most violent movie scene ever!,0.1111451,Safe,Clean content
373fc56d-45c8-42c1-9318-3a7a2a4fdabb,"This person is so dumb, LOL.",0.937407,Unsafe,High toxicity detected
b7a79a09-d6c5-425a-ac32-b158e63c9d18,10 tips to stay focused during exams.,0.0005568195,Safe,Clean content
0439eb0a-18af-4309-b6be-493bf440fa73,You won't believe what happened next!,0.0048158597,Safe,Clean content
625464aa-318b-41c7-893a-b39347f505b5,"This person is so dumb, LOL.",0.937407,Unsafe,High toxicity detected
d6f4a7d5-fe6c-4d0b-a88b-abbff8d6fcfb,10 tips to stay focused during exams.,0.0005568195,Safe,Clean content
fce668c4-82ab-4f8d-a224-83fd9f84fb10,10 tips to stay focused during exams.,0.0005568195,Safe,Clean content
2fa27584-ca47-4af1-a323-6c28d58fa9a3,This is the most violent movie scene ever!,0.1111451,Safe,Clean content
788e5e4a-dcd6-4ed2-ae37-d9deea5f2999,This is the most violent movie scene ever!,0.1111451,Safe,Clean content
d8cc62e5-597a-4356-a44d-4a80ff478839,This is the most violent movie scene ever!,0.1111451,Safe,Clean content; Image flagged for: Racy
69480aa9-5616-4fc3-afad-f6983b5c15bd,Learning new chess strategies is fun and challenging.,0.00059212616,Safe,Clean content; Image flagged for: Adult
0f13b32f-5994-4ec8-af12-4052304bab56,Watch this hilarious prank compilation!,0.08488324,Safe,Clean content; Image flagged for: Violence
190413ee-608d-4b7b-bf9c-870a6d6423b2,Watch this hilarious prank compilation!,0.08488324,Safe,Clean content
5eed48cc-5792-49b0-9a64-c9c780456800,You won't believe what happened next!,0.0048158597,Safe,Clean content
e34604ad-2a40-4f98-9b5b-528930aeaac3,10 tips to stay focused during exams.,0.0005568195,Safe,Clean content
e73f1532-25a1-4ff7-8f9d-b86628d61f48,Check out this new art tutorial.,0.0007006176,Safe,Clean content; Image flagged for: Racy
3c70dedc-402b-49e9-a52a-36dd334a5193,Study hacks for competitive exams.,0.0005901148,Safe,Clean content
5298a3b6-87e7-4f58-b933-9a24f1d1827f,Join us live for the global science fair.,0.0005469048,Safe,Clean content
c9a9901d-1807-45fd-834a-bc9fce2d64be,You won't believe what happened next!,0.0048158597,Safe,Clean content
6b594afe-e435-41e5-bbce-23c1eac4487a,This is the most violent movie scene ever!,0.1111451,Safe,Clean content; Image flagged for: Violence
1809f638-ecf6-4e21-937a-18155d7444ce,Join us live for the global science fair.,0.0005469048,Safe,Clean content
9fb1167f-3918-4129-873f-119b0ec4bc4c,"Hate this so much, can't believe it!",0.20520207,Unsafe,Clean content; Unsafe keyword found
5d42c75b-b2ab-4800-99d4-bc2c0d462209,Study hacks for competitive exams.,0.0005901148,Safe,Clean content
28fd89cc-d748-4c6f-972a-3831315a064d,"Hate this so much, can't believe it!",0.20520207,Unsafe,Clean content; Unsafe keyword found
ddf7648c-1fa6-41f5-a13c-3ac511d3876b,Check out this new art tutorial.,0.0007006176,Safe,Clean content
c60821ae-9c43-4baf-a289-610daea440cb,You won't believe what happened next!,0.0048158597,Safe,Clean content; Image flagged for: Adult
0b077abc-042a-4995-abff-962fbf863070,10 tips to stay focused during exams.,0.0005568195,Safe,Clean content
23b34929-2f53-4511-aafc-9c88bea85a1e,Learning new chess strategies is fun and challenging.,0.00059212616,Safe,Clean content
bb1f9a45-868e-4737-bde4-f78891954e18,"This person is so dumb, LOL.",0.937407,Unsafe,High toxicity detected; Image flagged for: Violence
ca91b155-9c0e-45ea-ad4c-1b92c0fdd9c0,Join us live for the global science fair.,0.0005469048,Safe,Clean content
aac0fcae-90b3-4f66-acfc-c6ac099940ba,Check out this new art tutorial.,0.0007006176,Safe,Clean content
5fe28d4f-1ff8-4cde-b067-5308382be227,10 tips to stay focused during exams.,0.0005568195,Safe,Clean content
2eddab50-fac5-4d77-9596-9c4031dec577,"This person is so dumb, LOL.",0.937407,Unsafe,High toxicity detected
84a84339-99bb-4ec7-8ca0-8bd4e1847c3f,"Hate this so much, can't believe it!",0.20520207,Unsafe,Clean content; Unsafe keyword found
652cf3b7-9a2e-441e-af55-f2ed4a3d978b,Study hacks for competitive exams.,0.0005901148,Safe,Clean content
1569110d-6bfa-491a-914e-efcca81e7f15,Join us live for the global science fair.,0.0005469048,Safe,Clean content
d4e173d3-1a5c-44d6-8b87-e64b07b76457,Check out this new art tutorial.,0.0007006176,Safe,Clean content
bc213a8d-6131-4570-bb4a-08a064b05545,This is the most violent movie scene ever!,0.1111451,Safe,Clean content
5ddc79ca-2c0d-4869-87ef-4e67e3359494,Check out this new art tutorial.,0.0007006176,Safe,Clean content; Image flagged for: Violence
d875f832-861c-4a0d-9fd7-acaafde128f6,You won't believe what happened next!,0.0048158597,Safe,Clean content
9a86560b-17de-4812-856b-5e0216d04475,"Hate this so much, can't believe it!",0.20520207,Unsafe,Clean content; Unsafe keyword found; Image flagged for: Adult
634a9596-cc52-4d3b-9334-8f2d1318d2b5,This is the most violent movie scene ever!,0.1111451,Safe,Clean content
6c1f3bea-9e52-405e-94f7-6c18f0e773f2,Study hacks for competitive exams.,0.0005901148,Safe,Clean content
e86701f8-18c3-4864-97a8-9ab5b4b0eea4,Learning new chess strategies is fun and challenging.,0.00059212616,Safe,Clean content
fec6ed9e-1ae1-478a-ae07-0fe9c2ccafc5,Learning new chess strategies is fun and challenging.,0.00059212616,Safe,Clean content; Image flagged for: Adult
f58e3b10-73ff-43ba-b3bc-c7d4ed9b9b7d,This is the most violent movie scene ever!,0.1111451,Safe,Clean content
eac95b2c-f039-4342-acf3-ab16c17ed37e,Learning new chess strategies is fun and challenging.,0.00059212616,Safe,Clean content
018fea36-fed2-4390-8165-b20482626252,This is the most violent movie scene ever!,0.1111451,Safe,Clean content; Image flagged for: Racy
90c46e69-9c71-4ebf-a58f-fe76ed8c5c34,Check out this new art tutorial.,0.0007006176,Safe,Clean content
ac65d9cb-b2b1-4cb1-826e-a87194a9e8a6,Watch this hilarious prank compilation!,0.08488324,Safe,Clean content
